file_id,sample_id
468996e4-58e0-4088-8103-4f41a8bd85d4,82c23e47-9e17-4e18-a28b-438d244fc406
86573015-22a6-482d-97b0-dc07f961651e,5176c91c-6464-4c4d-8dec-f19763afb002
86573015-22a6-482d-97b0-dc07f961651e,82c23e47-9e17-4e18-a28b-438d244fc406
5fee464d-d957-4b98-ad0e-3eb1bd791fa5,5176c91c-6464-4c4d-8dec-f19763afb002
5fee464d-d957-4b98-ad0e-3eb1bd791fa5,82c23e47-9e17-4e18-a28b-438d244fc406
3b7d387a-7854-449f-832b-0054985518d4,5841aeec-001f-4bc7-b8a9-ea6771252735
8cdde20d-8ad1-4572-a03e-cabdc3a2bc4f,5841aeec-001f-4bc7-b8a9-ea6771252735
8cdde20d-8ad1-4572-a03e-cabdc3a2bc4f,69432a7f-a0af-482d-b0ea-f5eba48908f5
8ca4bf4c-1647-4055-809b-22eb69132e96,42638844-b5ac-4e35-aae7-ea7feacf4160
8ca4bf4c-1647-4055-809b-22eb69132e96,ae5920d8-88d6-4d42-a1a4-f49fe54bbec2
3b3fe35e-dca3-4690-bb70-e26e15bf4b42,42638844-b5ac-4e35-aae7-ea7feacf4160
3b3fe35e-dca3-4690-bb70-e26e15bf4b42,ae5920d8-88d6-4d42-a1a4-f49fe54bbec2
360c1f3c-3e4b-454a-855a-cc22690d8ec7,ae5920d8-88d6-4d42-a1a4-f49fe54bbec2
a33aedfa-6f52-4798-b80e-97b20a3cf288,84e3fe6c-ab5e-4107-b1d7-cc0297d6da2f
1333dd56-1daf-437a-af91-45c9770b4b55,ae5920d8-88d6-4d42-a1a4-f49fe54bbec2
4bb954b1-614d-46db-89f5-f017f47ac70f,ae5920d8-88d6-4d42-a1a4-f49fe54bbec2
44ad3471-0e2e-4baa-a18a-9612938a7f22,24abc0f5-f40f-4a74-8968-88ca574e3f03
51b1e822-451a-40dc-9759-dd255946c43a,24abc0f5-f40f-4a74-8968-88ca574e3f03
658df258-b899-48e5-8c7f-fbdc34bcdecf,fe7d8f81-f39f-4401-b3e9-cfde245d6b93
e86e324f-1665-40b1-839f-63cf0918ba0e,24abc0f5-f40f-4a74-8968-88ca574e3f03
15194036-cb4c-4de3-a57d-ae8c3022f134,24abc0f5-f40f-4a74-8968-88ca574e3f03
9b8fcf12-8bbb-4ac9-a16f-b193fdf3d295,fcc2b3d4-4abb-4327-97d7-eb225537fb9d
14824f7a-b8c6-4f81-9bd9-8068e4e1314d,2e7eec3f-c9c4-42c2-8b3d-296d916a2842
14824f7a-b8c6-4f81-9bd9-8068e4e1314d,5c4ba77d-d7f4-4d66-b9a9-875167a063ae
13dccec2-fae9-452c-8df1-c3f0e26f9167,3847889f-2a14-4bf7-8fac-c89c2b4198f3
0dc53951-aa18-498d-afe8-0dbe070fa6d8,3847889f-2a14-4bf7-8fac-c89c2b4198f3
0dc53951-aa18-498d-afe8-0dbe070fa6d8,5c4ba77d-d7f4-4d66-b9a9-875167a063ae
c514022d-c063-493c-aff3-a4e9614c470f,fcc2b3d4-4abb-4327-97d7-eb225537fb9d
50c13595-bbe9-460c-bc25-94ae09c89784,fcc2b3d4-4abb-4327-97d7-eb225537fb9d
27949ab5-595c-486b-beab-794ad513dffb,2de505d9-5baf-43c5-a541-496a6be40fae
12683535-dd3a-429a-be0e-a297e71e674d,2e7eec3f-c9c4-42c2-8b3d-296d916a2842
12683535-dd3a-429a-be0e-a297e71e674d,5c4ba77d-d7f4-4d66-b9a9-875167a063ae
2b1568c4-444e-48a7-94fb-8381927509d7,3847889f-2a14-4bf7-8fac-c89c2b4198f3
574174d5-f635-414b-ae70-afdd6ec6ddcf,3847889f-2a14-4bf7-8fac-c89c2b4198f3
0f20e1c9-6bef-473d-8036-691fca242573,2e7eec3f-c9c4-42c2-8b3d-296d916a2842
